이름,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,보관방법,생산자,소재지,제조연월일,유통기한 또는 품질유지기한,포장단위별 내용물의 용량(중량),원재료명 및 함량,제품명,식품유형,원재료명,포장재질,품질유지기한,제조 및 판매원,"포장단위별 내용물의 용량(중량), 수량",성분,제조원,원재료,용량,주소,허가번호,제조일,권장기한
콜롬비아 엘 카르멘 워시드,커피원두,서울특별시 용산구 이태원로49길 24,제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
우일라 디카페인,원두,Steamerscoffee,제조일로부터 2달 이내,상품 뒷면 참조,200g,없음,Colombia 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
아이리스,커피,"커피 앰비언스, 서울시 송파구 송이로17길 51 (1층, 가락동)",제조일로부터 1년,제조일 별도표기,200g / 1kg,서늘한 곳에 보관,볶은커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
구스토 블렌드,커피,경기도 파주시 문산읍 사목로 69번지 3동,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스트레토 커피팩토리 01086790553,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 가탕가리리 AA,커피,서울특별시 관악구 조원로 2길 7 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,카페플롬 010-4155-8282,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
리들리,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
안목블렌드,커피,"보사노바로스팅팩토리, 강원도 강릉시 경강로2660번길 7",제조일로부터 12개월,별도표시,200g / 1kg,"직사광선과 습기를 피하여 서늘한 곳에 실온 보관 하며, 개봉한 후에는 빨리 드십시오.",커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
알파 블렌드,커피,부산 중구 중구로29번길 7 1층 오드이븐,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,오드이븐 010-9742-0929,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아프로디테 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,라메르판지비앤알 0522928787,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
오렌지 슈가 블렌드,커피,"인천시 부평구 부평대로 337, 1031호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,놈코어 커피 01049722312,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디에고 베르가라 자바 이스트 무산소발효 워시드,커피,경기도 광주시 오포읍 수레실길 144,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,한국커피 010-9957-4231,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 띠리쿠 AA 워시드,커피,"경기도 파주시 탄현면 소리개길 164-17, 3동",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,폰트커피 010-9483-1853,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
뉴월드 블렌드,커피,충북 청주시 청원구 내수읍 충청대로 904,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,하우트 커피컴퍼니 070-7503-5677,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
랑케블랙,커피,경기 안산시 단원구 산단로 296 522호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,랑케커피 01089630224,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
봄 블랜드,커피,서울 성동구 성덕정길 130 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,글루 01023160961,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
디카페인 고소한 빈도,커피 원두,서울특별시 양천구 목동중앙서로 33 1층 빈도 로스터스 커피,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,빈도 로스터스 커피 / 02-2643-2988,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
과테말라 와이칸 워시드,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,500g,,커피원두 100%,카페소소한사치 010-9340-4364,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
라이프 블렌드,커피,경기도 안산시 단원구 만해로 205 타원타크라3 a동 113호 114호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,디그리 01031660563,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
ETNA(에트나),볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,,커피원두 100%,마그마커피 070-7599-2210,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,,,,,,,,,,,,,,,,,,,,,
조바티 클래식 블렌드,커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,조바티커피,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처블렌드 A,커피,로컬커피로스터스. 경기도 김포시 양촌읍 불당로 92-10,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,로컬커피 로스터스 01025550698,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
웨이브온 컴페티션 블랜드,커피,부산 기장군 장안읍 해맞이로 286,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,웨이브온 커피 051-727-1660 /2번,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시다모 파피초 내추럴,커피,"서울특별시 성동구 왕십리로 410, I동 1층 141호 (하왕십리동, 센트라스)",제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
뷰블렌드,커피,바다뷰커피공장 / 강원도 양양,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,바다뷰 커피공장 010-9969-3824,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
모리 로부스타 쎄 허니,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,라까프 070-8098-2019,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
트로피칼 플라워 게이샤 무산소,커피,서울시 강남구 강남대로154길 24 준영빌딩 1층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,수수커피 010-5068-4771,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
핸디엄 밸런스 원두 스윗 5kg,커피,서울특별시 강남구 영동대로106길 37,제조일로부터 1년,주문 확인 후 제조,500g x 10ea,,"커피원두 100% (케냐산 60%, 과테말라산 40%)",핸디엄 010-4194-8939,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커튼콜,커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,크래커스 커피 로스터스 010-2605-1001,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Parachute (패러슈트),커피,서울시 관악구 은천로 39,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,UFO 커피로스터스 010-4240-8455,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
폴라베어 블랜딩,커피,"오소커피로스터스 , 서울시 용산구",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피볶는곰 0262422113,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
아로마,커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,,커피원두 100%,커피루소 02-2056-7619,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
올드스쿨(Old School),커피,서울시 중랑구 신내역로 111 SKV1 센터,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,그린마일커피,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
시그니처 블랜드 000 디카페인,커피,서울특별시 성동구 아차산로17길 48 SK V1CENTER 401호,제조일로부터 1년,주문일 기준 2주 내 로스팅 상품 출고,1kg,,커피원두 100%,라운지엑스 070-5161-0005,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스타가이 블랜드,커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커피가이 070-4897-3440,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
허니서클 블렌드,커피,구리시 아차산로 432번길 18 201호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,놈코어커피 010-5134-1306,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
밀밭,커피,"경기도 부천시 양지로92번길9-3, 106호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,"오이르로스터스 경기도 부천시 양지로92번길9-3, 106호","직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
마젠타 블렌드,커피,경기 남양주시 불암로109번길 4-29 (별내동) 1층 일부호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,레인디어 010-3976-1590,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
피크 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,오드이븐,부산광역시 중구 중구로 29번길 7 오드이븐,주문접수 후 당일제조,제조일로부터 6개월 이내 권장,,원두커피 100%,,,,,,,200g / 1kg,,,,,,,,
안신단고 블렌딩,볶은커피,경상남도 진주시 남강로 36 (판문동) 1층 플라워진양호점,제조일로부터 12개월 이내,주문일로부터 7일 이내,500g / 1kg,-,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
하늘에 시그니처 블랜딩,커피원두,,제조일로부터 1년,전면 별도 표기,200g / 1kg,,,코케 고객센터 070-4647-1868,"개봉 후 서늘한 곳에 밀폐하여 보관하시고, 되도록 공기와의 접촉을 피해야합니다.",,"제주시 애월읍 고내3길 14(애월공장), 서울시 마포구 월드컵북로 42다길 14(상암공장)",,,,,,,,,,,,커피원두 100%,주식회사 하늘에커피,,,,,,
인도 마이소르 너겟 엑스트라 볼드,커피,"베러로스팅랩, 서울시 성동구 왕십리로6길 18-1, 1층",제조일로부터 2개월,주문시 로스팅,200g,후면에 표기,커피원두 100%(인도100%),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
과테말라 SHB 스위스워터 디카페인,커피,"서울시 송파구 법원로 114, B동 106호",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리프커피 010-9955-1551,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 구지 라요 타라가 워시드,볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,200g / 400g,-,커피원두 100%(에티오피아산),코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
글램 앤 모어,커피,"서울시 강남구 봉은사로 68길 41, 1층",제조일로부터 1년,주문일로부터 3일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(에티오피아 60%, 케냐 40%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
올드타운,,,제조일로부터1년,,,,,코케 고객센터 070-4647-1868,건조하고 서늘한 곳에 보관,,,,,,,차군커피,,,별도표기,,,,,차군커피로스터스,커피원두100%,별도표기,경남 밀양시 가곡11길 4,제2017-0611180호,별도표기,제조일로부터 1개월
오드아이,볶은 커피,"그럼블커피, 경기도 하남시 감북동 감초로 45-13",제조일로부터 6개월,상단 별도 표기,상단 별도 표기,직사광선을 피하고 서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
웨이브온 블렌드,커피,"웨이브온커피, 부산광역시 기장군 장안읍 해맞이로 286",제조일로부터 1년,별도 표시,200g / 1kg,밀봉 후 직사광선을 피하여 실온 보관,커피원두100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 수프리모 SW 디카프,커피 원두,"파주시 꽃아마길41, 디카프워크룸",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 500g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브릭 에스프레소,커피,서울시 서초구 효령로 72길 57 E동 B101호 리플렉트커피,제조일로부터 10개월,주문시 로스팅,200g / 1kg,후면에 표기,"커피원두 100%(콜롬비아 50%, 과테말라 30%, 인도 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
1st WAVE : Supply,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 50%, 인도네시아 50%",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
Blend Base,커피,서울 용산구 녹사평대로 224-1,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스탠딩커피 010-7386-0386,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
(배전도: 에스프레소)디카페인 과테말라,커피,경기도 성남시 중원구 둔촌대로 531 쌍용IT트윈타워 B동 901-2호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,챁챁커피 031-736-0090,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
레드베릴 블렌드,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,별도 표시,1kg,,커피원두 100%,필리그리커피 032-672-9127,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
33도 블렌드,원두커피,"55도 커피로스터스, 경기도 성남시 분당구 서현동 175-5번지",제조일로부터24개월,전면 별도 표기,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.",커피원두100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
딥씨 블렌드,볶은 커피,"(주)502커피로스터스, 서울 금천구 가산디지털1로 159-20",제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
하이홉스 시즈널블랜드,커피,경기도 고양시 덕양구 행당로 1 4층 401호,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,컨트리사이드,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크브릭스 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,커스프 커피 010-3267-0430,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
다크초콜릿 블렌드,원두커피,,,,,,,코케 고객센터 070-4647-1868,,180커피로스터스,경기도 성남시 분당구 문정로144번길 4,제품 별도 표기,제품 별도 표기,200g / 1kg,"원두커피 100% (콜롬비아 50%, 브라질 30%, 인도 20%)",,,,,,,,,,,,,,,
메이데이,커피,"(주)클라우드 핑크, 서울 성동구 서울숲2길 28-11",제조일로부터 1년,후면별도표기,210g / 500g,실온에서 직사광선을 피해 서늘한 곳에 보관하세요.,"커피 100%(과테말라 40%, 에티오피아 30%, 콜롬비아 30%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
딥 스모키,커피,"주식회사 디카커피랩, 고양시 일산동구 은마길79번길 42",제조일로부터 1년,별도표기,500g / 1kg,서늘한 곳에 보관,"커피원두(브라질산 80%, 인도네시아산 20%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피,서울시 강동구 성내로 58 희성빌딩 3층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이알코퍼레이션 01033422398,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블렌드 B,커피,"리버벨, 서울시 관악구 남현 2길 18 1층",제조일부터 1년 이내,별도 표기,150g / 1kg,상온 보관,원두커피 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
L 블렌드,커피,"서울특별시 마포구 월드컵북로6길 88, 2층(동교동)",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,리플로우 커피 로스터스 010-4932-9198,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
밸런스 블렌드,커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,헤베커피 010-5295-5742,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
오차드 블렌딩,커피,서울 서대문구 연희로 46-1,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,웨이즈커피 010-6434-8150,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
스칼렛,커피,"루비아 / 경기 성남시 사기막골로 124, 비즈동 1412호 루비아",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,루비아 커피 / 010-2942-3069,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙렄 블렌드,커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,칠복상회 010-6521-4889,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
커넥츠 블렌드,원두커피,"커넥츠커피, 서울특별시 마포구 성지길 60, 1층(국제빌딩)",제조일로부터 12개월,주문일로부터 3일 이내,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.","커피원두100%(콜롬비아 40%, 에티오피아 20%, 과테말라 20%, 코스타리카 15%, 인도 5%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
상큼한초밥 블렌딩,원두,"원더월 커피로스터스, 서울시 동대문구 답십리로 80 1층",제조일로 2개월,제품 표시,1kg,실온 보관,아라비카 생두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
브루클린,커피(볶은커피),"(주)핸디엄, 경기도 여주시 세종대왕면 상동길 68",제조일로부터 12개월,하단 표기일,140g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하여 주십시오.",커피원두 100% (에티오피아산 80% / 케냐 20%),핸디엄 고객센터 1599-2681,,,,,,,,,,,,,,,,,,,,,,
시즈널 블렌드 '가을',커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,연경재 010-6662-4474,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
프렌치,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,1kg,직사광선을 피하고 서늘하고 건조한 곳,"커피 원두 (페루 50%, 콜롬비아 50%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,볶은 커피,"피어커피 로스터스, 서울시 성동구 광나루로 4가길 38 1층",제조일로부터 1년,상품후면표기,1000g,직사광선을 피하고 서늘한 곳에 보관하십시오,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
볼드 블렌드,커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,이수팩토리 01086348481,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 AA TOP 오타야 칭가 퀸,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,"500g,1kg",,커피원두 100%,운조커피 010-4535-8819,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 코케 허니 예가체프 G1,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
문래 블렌드,커피,"보사노바로스팅팩토리, 강원도 강릉시 경강로2660번길 7",제조일로부터 12개월,별도표시,200g / 1kg,"직사광선과 습기를 피하여 서늘한 곳에 실온 보관 하며, 개봉한 후에는 빨리 드십시오.","커피원두 100% (에티오피아 40%, 브라질 60%)",코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
에티오피아 시다모 워시드 G2,커피,"충청남도 논산시 연산면 황룡재로 65, 2층",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,서가로스터리 01063083067,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
에티오피아 예가체프 게뎁 단체 첼베사  워시드 G1,커피,서울시 동작구 솔밭로 97-6,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,싸인포스트커피 010-4879-1791,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
케냐 가탕가리리 AA,커피,서울특별시 관악구 조원로 2길 7 1층,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,카페플롬 010-4155-8282,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
Ethiopia Guji G1(에티오피아 구지 G1),커피,서울특별시 강남구 선릉로 570 1층,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,마그마커피 070-7599-2210,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
코스타리카 핀카 마초 워시드,커피,"경기도 파주시 탄현면 소리개길 164-17, 3동",제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,폰트커피 010-9483-1853,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디카페인,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,,콜롬비아 디카페인 커피원두 100%,전광수 커피 010-2936-0501,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
블랙오르페우스,커피 원두,"브니엘컴퍼니, 서울시 양천구 가로공원로56길 27-1 1층 브니엘 커피 로스터스",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868,,,,,,,,,,,,,,,,,,,,,,
과테말라 디카페인 (마운틴 워터 프로세스),커피,경기도 파주시 문산읍 사목로 69번지 3동,제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,스트레토 커피팩토리 01086790553,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
제우스 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,,커피원두 100%,라메르판지비앤알 0522928787,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
콜롬비아 디에고 베르가라 자바 이스트 무산소발효 워시드,커피,경기도 광주시 오포읍 수레실길 144,제조일로부터 1년,주문 확인 후 제조,200g,,커피원두 100%,한국커피 010-9957-4231,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",,,,,,,,,,,,,,,,,,,,,
